author_id,author,gender,COUNT of id
11,Victoria Ginzberg,F,13
1114,Raúl Kollmann,M,12
549,Ricardo de Titto,M,12
529,Ricardo Esteves,M,12
416,Sonia Tessa,F,12
339,Javier Lindenboim,M,12
333,Miguel Espejo,M,12
308,María Eugenia Estenssoro,F,12
270,Ezequiel Spector,M,12
233,Verónica Chiaravalli,F,12
212,Francis Mallmann,M,12
88,Hernán Cappiello,M,12
67,Daniel Muchnik,M,12
63,Irina Hauser,F,12
58,Carlos Ares,M,12
20,Luis Costa,M,12
1471,Jorge Tartaglione,M,11
1304,Guillermo Saccomanno,M,11
1181,Guillermo Marcó,M,11
1169,Roberto Bacman,M,11
1084,José Natanson,M,11
926,Victor Wolf,M,11
886,Rubén M. Perina,M,11
877,Santiago Kovadloff,M,11
627,Eduardo Duhalde,M,11
561,Paula Español,F,11
556,Guido Croxatto,M,11
539,Santiago Bilinkis,M,11
517,Martín Balza,M,11
405,Carlos A. Valle,M,11
377,Daniel Montamat,M,11
356,Fernando R. Marengo,M,11
340,Melina Masnatta,F,11
326,Ricardo Iacub,M,11
322,Roberto Saba,M,11
260,Maximiliano Rusconi,M,11
179,Rafael Mathus Ruiz,M,11
1096,Luis Tonelli,M,10
836,Iván Petrella,M,10
768,Fernanda Sández,F,10
703,Agustín Romero,M,10
592,Andrés Gil Domínguez,M,10
503,Norberto Frigerio,M,10
476,Roberto Samar,M,10
395,Julio Montero,M,10
365,Félix V. Lonigro,M,10
346,Juan Forn,M,10
298,Roberto García Moritán,M,10
291,Sonia Santoro,F,10
273,Arturo Pérez-Reverte,M,10
267,Felipe Frydman,M,10
263,Diana Cohen Agrest,F,10
234,Aldo Neri,M,10
230,Damián Nabot,M,10
199,Ricardo Monner Sans,M,10
165,Artemio López,M,10
31,Héctor Zajac,M,10
1580,Jorge Enriquez,M,9
1293,Jorge Halperín,M,9
1000,María Pía López,F,9
840,Carlos Alberto Rozanski,M,9
772,Noé Jitrik,M,9
767,Luis Paz,M,9
757,Gustavo Iaies,M,9
573,Alberto Benegas Lynch (h),M,9
386,Yael Bendel,F,9
380,Nora Merlin,F,9
373,Carlos Rozanski,M,9
347,Andrés Asiain,M,9
299,Claudio Morresi,M,9
259,Guillermo Rozenwurcel,M,9
218,Silvia Ramírez Gelbes,F,9
209,Guido Risso,M,9
162,Gloria López Lecube,F,9
97,Dr. Daniel López Rosetti,M,9
77,Alberto Armendáriz,M,9
69,Carlos Gabetta,M,9
42,Cristian Grosso,M,9
1490,Edgardo Esteban,M,8
1449,Rafael Bielsa,M,8
1020,Héctor Barbotta,M,8
984,Luis Gregorich,M,8
879,Emilio Ocampo,M,8
849,Nicolás Artusi,M,8
799,Pablo Fernández Blanco,M,8
766,Marcos Rebasa,M,8
754,Raúl Martínez Fazzalari,M,8
752,Matías Barroetaveña,M,8
749,Federico Bernal,M,8
710,Norma Cadoppi,F,8
686,Marta Riskin,F,8
674,Eva Giberti,F,8
578,Raúl Ochoa,M,8
546,Luis Palma Cané,M,8
545,Lucila Larrandart,F,8
444,Natalia Blanc,F,8
401,Mariana Enriquez,F,8
313,Luis Secco,M,8
311,Carolina Arenes,F,8
309,Lucas Prieto Schorr,M,8
251,Facundo Martínez,M,8
219,Agustín Salvia,M,8
203,María Matilde Ollier,F,8
193,Marcelo Justo,M,8
173,Alexia Rattazzi,F,8
159,Beatriz Sarlo,F,8
59,Miguel Roig,M,8
32,Jorge Argüello,M,8
1559,Ignacio Cloppet,M,7
1331,Gabriel Fuks,M,7
1220,Luis Vinker,M,7
1091,Santiago Dapelo,M,7
1077,Sergio Wischñevsky,M,7
1048,Sandra Cesilini,F,7
863,Ian Buruma,M,7
742,Marina Dal Poggetto,F,7
652,Olivia Muñoz-Rojas,F,7
637,Claudia Romero,F,7
522,Luciana Vázquez,F,7
507,Victor A. Beker,M,7
497,Quim Monzó,M,7
470,Hugo Soriani,M,7
384,Patricia Pérez,F,7
324,Luis Alberto Romero,M,7
320,Adriana Puiggrós,F,7
290,Fernando Rodríguez,M,7
225,Leonardo Ferri,M,7
220,Selva Almada,F,7
197,Sofía Contreras,F,7
163,Diana Mondino,F,7
151,Andrés Malamud,M,7
99,Fabiana Fondevila,F,7
81,Jorge Alemán,M,7
26,Guido L. Croxatto,M,7
2094,Juan Landaburu,M,6
1797,Claudio Zuchovicki,M,6
1585,Jorge Sigal,M,6
1373,Fabio J. Quetglas,M,6
1260,Carlos Alvarez Teijeiro,M,6
1172,Marco Teruggi,M,6
1094,Horacio Bernades,M,6
1086,Pablo Gentili,M,6
977,María Seoane,F,6
973,Claudia Korol,F,6
970,Néstor Scibona,M,6
955,Hugo Martini,M,6
937,"Fernando ""Pino"" Solanas",M,6
885,Javier Blanco,M,6
852,Fernando “Chino” Navarro,M,6
850,Celina Chatruc,F,6
751,Eduardo de la Serna,M,6
555,Manuel Alvarez Trongé,M,6
492,Julio María Sanguinetti,M,6
443,Oscar Ranzani,M,6
422,Mariano De Vedia,M,6
413,Daniel Filmus,M,6
410,Diego Rubinzal,M,6
399,Rodolfo H. Gil,M,6
292,Angel Cappa,M,6
278,Gabriel Litwin,M,6
227,Mercedes López San Miguel,F,6
214,Diego Golombek,M,6
213,Iván de Pineda,M,6
183,Fernando Iglesias,M,6
164,Mabel Bianco,F,6
